,ACT,Sung By
0,Anybody Have a Map?,Heidi Hansen and Cynthia Murphy
1,Waving Through a Window,Evan Hansen
2,For Forever,Evan Hansen
3,"Sincerely, Me","Connor Murphy, Evan Hansen and Jared Kleinman"
4,Requiem,"Zoe Murphy, Larry Murphy and Cynthia Murphy"
5,If I Could Tell Her,Evan Hansen and Zoe Murphy
6,Disappear,"Connor Murphy, Evan Hansen, Alana Beck, Jared Kleinman, Cynthia Murphy, Larry Murphy and Zoe Murphy"
7,You Will Be Found,Evan Hansen and Company
8,"Sincerely, Me ",Connor Murphy and Jared Kleinman
9,To Break in a Glove,Larry Murphy and Evan Hansen
10,Only Us,Zoe Murphy and Evan Hansen
11,Good for You,"Heidi Hansen, Alana Beck, Jared Kleinman and Evan Hansen"
12,You Will Be Found ,"Alana Beck, Jared Kleinman, Connor Murphy and Heidi Hansen"
13,Words Fail,Evan Hansen
14,So Big/So Small,Heidi Hansen
15,Finale,Company
